FIPS,County or equivalent,State or equivalent,OBJECTID,GEOID10,GEOID20,TRACTCE,BLKGRPCE,CSA,CBSA,CBSA_POP,CBSA_EMP,CBSA_WRK,Ac_Total,Ac_Water,Ac_Land,Ac_Unpr,TotPop,CountHU,HH,P_WrkAge,AutoOwn0,Pct_AO0,AutoOwn1,Pct_AO1,AutoOwn2p,Pct_AO2p,Workers,R_LowWageWk,R_MedWageWk,R_HiWageWk,R_PCTLOWWAGE,TotEmp,D1A,D1B,D1C,D1C5_RET,D1C5_OFF,D1C5_IND,D1C5_SVC,D1C5_ENT,D1C8_RET,D1C8_OFF,D1C8_IND,D1C8_SVC,D1C8_ENT,D1C8_ED,D1C8_HLTH,D1C8_PUB,D1D,D1_FLAG,D2C_TRIPEQ,D3A,D3AAO,D3AMM,D3APO,D3B,D3BAO,D3BMM3,D3BMM4,D3BPO3,D3BPO4,D4A,D4D,D4E,D5AE,D5BE,D5CR,D5CRI,D5CE,D5CEI,D5DR,D5DRI,D5DE,D5DEI,D3B_Ranked,D4A_Ranked,NatWalkInd,Shape_Length,Shape_Area
24510,Baltimore City[p],Maryland,109833.4824,2.45102E+11,2.45102E+11,190799.732,2.404287902,548,12580,2793250,1316328,1277911,90.2159769,10.88250877,79.33346813,70.2753702,941.3476263,451.0290965,365.1393568,0.631413476,105.4042879,0.302152126,149.5267994,0.390307357,110.2082695,0.299883549,382.7151608,90.25114855,137.2787136,155.1852986,0.247558699,516.1669219,11.31547475,22.64496452,7.032225667,0.389166713,1.244255539,0.545481472,4.116408895,0.736913048,0.389166713,0.518765487,0.545481472,0.956852518,0.736913048,1.402542835,1.757013542,0.725490052,18.34770042,0,0.353922194,29.50041023,0.73507948,9.507880647,19.25745011,191.2392058,1.944725711,44.78393147,41.56684178,100.1106548,53.02767502,131.0522511,234.8697289,-153.101466,125856.6126,248624.5636,0.000702129,0.705022697,0.000670713,0.755061149,-153.136561,-152.7841732,-153.1365545,-152.6698991,16.60796325,17.93261868,14.14446146,2490.456784,365099.0077
25025,Suffolk County[k],Massachusetts,114369.356,2.50251E+11,2.50251E+11,110392.1269,2.399380805,148,14460,4811732,2432520,2464508,119.1044002,61.39811245,57.70628774,48.12039475,1225.643963,515.8482972,476.5789474,0.675159443,154.3390093,0.301251513,203.2275542,0.409958274,119.0123839,0.264022411,600.1439628,121.1625387,164.1377709,314.8436533,0.204409361,949.0758514,20.05308549,44.0691001,23.57700205,1.837508042,4.160625745,1.275649615,12.24728348,4.055935166,1.837508042,4.167076327,1.275649615,5.591959022,4.055935166,1.634324549,5.020999907,0,43.63008753,0.001547988,0.392502516,33.45271822,1.704143684,13.16136058,18.58721395,206.2168981,5.634665283,87.56702074,38.21123095,122.0945903,28.16137255,-189.8708669,908.6844113,-154.6979729,210414.6022,244427.0588,0.000487109,0.714301165,0.000453082,0.759096082,-464.39088,-463.9649835,-464.3908915,-463.9823787,17.36842105,18.02631579,14.93679051,2543.07219,482008.3875
26163,Wayne County,Michigan,120823.2629,2.61636E+11,2.61636E+11,551866.82,2.218441273,220,19820,4317179,1934459,1915549,236.3048451,21.4144631,214.890382,199.0086521,966.7299671,447.2897914,371.3430296,0.598637212,51.40944018,0.156866855,146.2738749,0.397060006,173.6597146,0.43948697,393.7530187,99.79473106,130.7113063,163.2469813,0.277806154,393.3935236,4.286578541,8.884120328,1.876370567,0.221717861,0.277054922,0.277470823,0.849266614,0.250860346,0.221717861,0.206054091,0.277470823,0.265854557,0.250860346,0.143508497,0.43990356,0.071227016,6.162949108,0.001097695,0.328825831,22.03639204,1.201946645,4.042685041,16.79176035,103.7414597,3.620383908,19.8680931,12.66823981,52.07622231,43.08636152,-43917.48081,-43494.53314,-43523.1574,114762.0527,-898.7755214,0.000303992,0.570397895,0.000303661,0.619093886,-44126.8908,-44126.65722,-44126.89081,-44126.69669,13.73271131,9.967069155,10.54692645,3764.575014,956313.0317
39035,Cuyahoga County,Ohio,176558.5792,3.90352E+11,3.90352E+11,149025.3485,2.014629948,184,17460,2061766,1023177,961969,685.9905117,434.1922696,251.798242,226.5651574,1078.987091,532.5232358,463.4518072,0.59795525,61.25473322,0.139053312,186.9061962,0.402949888,215.2908778,0.453693874,495.1506024,123.0524957,163.5550775,208.5430293,0.266803592,634.4199656,4.940547668,9.411872832,2.634945611,0.293682149,0.339657562,0.375567635,1.311202846,0.314835419,0.293682149,0.261292377,0.375567635,0.362619348,0.314835419,0.259548966,0.689034532,0.078590049,7.575493279,0.000860585,0.380631237,18.96572119,0.93408932,2.996992958,15.03463892,87.53008839,1.630590641,23.07903647,7.719047265,66.1833147,20.27305289,-13913.11639,-8388.118459,-8433.641932,86406.13081,33929.0654,0.000727922,0.607532038,0.000700715,0.702643107,-14285.57058,-14285.25992,-14285.57059,-14285.32227,12.33562823,14.3373494,11.93416523,4402.858334,2776162.692
